standard_code,clause_code,title,text,parent_clause_code,path
ISO22301,4.1,Understanding the Organization and its Context,Determining external and internal issues relevant to BCMS,,"ISO22301:4.1"
ISO22301,4.2,Understanding the Needs and Expectations of Interested Parties,Determining interested parties and their requirements,,"ISO22301:4.2"
ISO22301,4.3,Determining the Scope of the BCMS,Defining scope boundaries and applicability,,"ISO22301:4.3"
ISO22301,4.4,Business Continuity Management System,Establishing implementing maintaining and continually improving BCMS,,"ISO22301:4.4"
ISO22301,5.1,Leadership and Commitment,Top management demonstrates leadership and commitment,,"ISO22301:5.1"
ISO22301,5.2,Policy,Establishing business continuity policy,,"ISO22301:5.2"
ISO22301,5.3,Organizational Roles Responsibilities and Authorities,Assigning roles responsibilities and authorities,,"ISO22301:5.3"
ISO22301,6.1,Actions to Address Risks and Opportunities,Determining and addressing risks and opportunities,,"ISO22301:6.1"
ISO22301,6.2,Business Continuity Objectives,Establishing business continuity objectives,,"ISO22301:6.2"
ISO22301,6.3,Planning of Changes,Planning changes to the BCMS,,"ISO22301:6.3"
ISO22301,7.1,Resources,Determining and providing resources needed,,"ISO22301:7.1"
ISO22301,7.2,Competence,Ensuring persons are competent,,"ISO22301:7.2"
ISO22301,7.3,Awareness,Ensuring awareness of business continuity policy and objectives,,"ISO22301:7.3"
ISO22301,7.4,Communication,Planning and controlling communications,,"ISO22301:7.4"
ISO22301,7.5,Documented Information,Creating updating and controlling documented information,,"ISO22301:7.5"
ISO22301,8.1,Operational Planning and Control,Planning implementing and controlling processes,,"ISO22301:8.1"
ISO22301,8.2,Business Impact Analysis,Analyzing business impact and determining recovery objectives,,"ISO22301:8.2"
ISO22301,8.3,Risk Assessment,Assessing risks to business continuity,,"ISO22301:8.3"
ISO22301,8.4,Business Continuity Strategy,Establishing business continuity strategy,,"ISO22301:8.4"
ISO22301,8.5,Business Continuity Procedures,Establishing and implementing business continuity procedures,,"ISO22301:8.5"
ISO22301,9.1,Monitoring Measurement Analysis and Evaluation,Monitoring measuring analyzing and evaluating BCMS performance,,"ISO22301:9.1"
ISO22301,9.2,Internal Audit,Conducting internal audits at planned intervals,,"ISO22301:9.2"
ISO22301,9.3,Management Review,Reviewing the BCMS at planned intervals,,"ISO22301:9.3"
ISO22301,10.1,Nonconformity and Corrective Action,Handling nonconformities and taking corrective action,,"ISO22301:10.1"
ISO22301,10.2,Continual Improvement,Continually improving the suitability adequacy and effectiveness of the BCMS,,"ISO22301:10.2"

